Author,Chen,,,,,Isotherms shifted by 0.15 mass% to zoom on reversible portion only
DOI,10.1016/S0925-8388(00)00694-0,,,,,
Location,Figure 7c,,,,,
,,,,,,
Abs/Des,Des,,Des,,Des,
Temp (K),293,,303,,313,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.085,0.061,0.049,0.062,0.055,0.067
,0.139,0.087,0.109,0.119,0.078,0.197
,0.247,0.298,0.198,0.298,0.197,0.607
,0.307,0.487,0.282,0.598,0.263,1.091
,0.403,0.627,0.372,0.888,0.359,1.595
,0.499,0.834,0.463,1.091,0.450,1.959
,0.651,0.992,0.596,1.298,0.577,2.295
,0.765,1.074,0.729,1.497,0.710,2.407
,0.874,1.162,0.838,1.646,0.837,2.732
,1.013,1.319,0.970,1.991,0.958,2.864
,1.219,1.521,1.164,2.484,1.079,3.100
,1.418,1.959,1.345,3.052,1.176,3.409
,1.551,3.409,1.472,4.391,1.248,3.994
,1.694,11.715,1.598,6.840,1.435,6.220
,1.742,31.250,1.646,11.901,1.585,14.165
,,,1.693,32.255,1.645,31.250
