Author,Kierstead,,,,,,,,,,
DOI,10.1016/0022-5088(81)90159-4,,,,,,,,,,
Location,Figure 1,,,,,,,,,,
,,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,,Des,,
Temp (K),273,,293,,313,,333,,353,,
,mass %,P (bar),mass %,P (bar),mass %,P (bar),mass %,P (bar),mass %,P (bar),
,1.213974,10.1480086,1.188691,9.3464129,1.17050,10.75079,1.13385,10.76940,1.078947946,11.73734091,
,1.206824,7.685663412,1.179167,6.5123892,1.15863,7.08622,1.10826,7.30350,1.05347096,8.897042785,
,1.197384,5.821418525,1.169588,4.2920788,1.15151,5.51822,1.07342,4.55834,1.03036795,7.330385024,
,1.183140,3.530188879,1.150790,2.6767924,1.13743,3.95433,1.03398,2.76753,1.00025375,5.256885928,
,1.168785,1.915274212,1.141100,1.5783595,1.10715,2.39977,0.98546,1.82733,0.972568897,4.332150313,
,1.154624,1.262560375,1.103837,0.8572514,1.08167,1.81906,0.92330,1.34946,0.931083144,3.379029631,
,1.140325,0.724191168,1.057575,0.5504304,1.04692,1.23417,0.87966,1.20981,0.892082107,3.20200297,
,1.121444,0.415478112,1.027350,0.3531572,1.00298,0.81471,0.83152,1.17928,0.8530257,2.870010004,
,1.098258,0.314903278,0.992654,0.2533166,0.97993,0.70967,0.73533,1.21807,0.818578822,2.644449386,
,1.072670,0.213558588,0.951085,0.1817607,0.94074,0.55347,0.56569,1.09852,0.788824526,2.722885326,
,1.037891,0.140916092,0.895993,0.1630385,0.90174,0.52448,0.52901,1.07023,0.596304056,2.527663456,
,1.007860,0.109853635,0.854811,0.1727043,0.88106,0.49657,0.49914,0.98590,0.575713446,2.601510775,
,0.991630,0.090480451,0.806647,0.1637271,0.85581,0.47025,0.48057,0.76816,0.548139332,2.396275199,
,0.954726,0.070558507,0.765382,0.1595442,0.82832,0.47086,0.46425,0.58202,0.518357351,2.399643688,
,0.931623,0.058134038,0.721799,0.1512184,0.70461,0.47361,0.44797,0.45343,0.49547582,2.470017713,
,0.904049,0.05354779,0.680563,0.1515128,0.60833,0.45002,0.43179,0.39484,0.483772048,1.923882232,
,0.869685,0.053634653,0.643936,0.1560574,0.56707,0.43852,0.40637,0.31642,0.462932275,1.541447145,
,0.807830,0.053791362,0.598062,0.1479295,0.53961,0.45148,0.38791,0.27556,0.444328053,1.1680564,
,0.633554,0.04589601,0.556798,0.1441503,0.52586,0.45177,0.35785,0.20893,0.421197358,0.935967773,
,0.580918,0.048643222,0.517797,0.1365983,0.50513,0.40458,0.33712,0.18710,0.391083159,0.67121656,
,0.551219,0.052952257,0.503996,0.1292882,0.48189,0.29004,0.31631,0.15414,0.361107384,0.553203035,
,0.528199,0.047426127,0.494583,0.1006909,0.46552,0.20787,0.29999,0.11679,0.333367161,0.431212626,
,0.509789,0.043665759,0.473632,0.0721779,0.45384,0.16647,0.28600,0.09098,0.30780712,0.300687486,
,0.498251,0.040190516,0.459693,0.0594426,0.43532,0.13713,0.25622,0.09110,0.289202899,0.227850785,
