Author,Goudy,,,,,,,,,,,,,,
DOI,"Andrew Goudy Thesis, University of Pittsburg 1976",,,,,,,,,,,,,,
Location,Figure 19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,,,,,,,,,
Temp (K),323,,347.6,,373,,,,,,,,,,
,wt %,P (bar),wt %,P (bar),wt %,P (bar),,,,,,,,,
,0.07939,0.013154842,0.08494827,0.204481899,0.067962,0.284524117,,,,,,,,,
,0.08441,0.064755305,0.121576369,0.318653576,0.081177,0.616987669,,,,,,,,,
,0.11872,0.068523743,0.160431655,0.595775444,0.111187,0.63822382,,,,,,,,,
,0.14258,0.128136584,0.1883099,0.630489095,0.126327,0.867765219,,,,,,,,,
,0.18564,0.201953863,0.2697863,0.722169623,0.126407,1.029360535,,,,,,,,,
,0.25854,0.231341108,0.304091873,0.764196317,0.145832,1.399513974,,,,,,,,,
,0.30356,0.242005604,0.347083744,1.038741282,0.186607,1.622065994,,,,,,,,,
,0.33572,0.256094881,0.383785994,1.898419748,0.220918,1.736115421,,,,,,,,,
,0.37222,0.303668949,0.435352933,2.609756797,0.261651,1.83702498,,,,,,,,,
,0.40897,0.614871555,0.489051723,3.506786906,0.300257,2.011380966,,,,,,,,,
,0.44546,0.71268101,0.52560567,4.659640174,0.336726,2.227551298,,,,,,,,,
,0.47977,0.762790476,0.564286171,5.983462567,0.358246,2.733559442,,,,,,,,,
,0.52932,1.378120676,0.596518157,7.341835098,0.381930,3.510726399,,,,,,,,,
,0.57883,2.247346667,0.633024436,8.805387351,0.392742,4.358036925,,,,,,,,,
,0.62827,3.196838315,0.673783822,9.862946805,0.412114,5.287581987,,,,,,,,,
,0.67550,3.921971685,0.718833391,11.17351364,0.446420,5.595293058,,,,,,,,,
,0.73767,4.244554385,0.759576887,12.09525235,0.482926,6.710682283,,,,,,,,,
,0.81482,4.48954969,0.796040794,13.24353611,0.513026,8.423977156,,,,,,,,,
,0.85990,5.445678089,0.823945521,14.83613234,0.534530,9.990447311,,,,,,,,,
,0.88574,7.154830985,0.843296364,17.19924966,0.564593,11.58043771,,,,,,,,,
,0.90300,9.401254328,0.856193396,18.8367425,0.588240,13.73355515,,,,,,,,,
,0.91808,11.02398109,0.86910102,21.10526475,0.614002,15.3854239,,,,,,,,,
,0.93742,12.63522297,0.879860905,23.37982244,0.637617,17.04124646,,,,,,,,,
,0.94608,15.33196714,0.888462457,25.03042997,0.656936,18.45117592,,,,,,,,,
,0.95690,19.25024016,0.901364785,27.72738814,0.680540,19.97686052,,,,,,,,,
,0.98271,23.89251172,0.912119373,30.36791774,0.702012,22.12732327,,,,,,,,,
,1.00636,28.33477763,0.918562592,31.42091391,0.727758,23.95644194,,,,,,,,,
,1.01927,32.47831694,0.92503759,34.80877351,0.749209,25.3540039,,,,,,,,,
,1.03862,37.22527939,0.933644439,37.69295397,0.759953,27.14337845,,,,,,,,,
,1.04938,41.23712414,0.944399027,41.28252253,0.777114,28.40293966,,,,,,,,,
,1.06013,44.65294126,0.950863432,44.7041078,0.794269,29.38450159,,,,,,,,,
,1.06661,50.0338971,0.961591538,46.25212874,0.811446,31.81638059,,,,,,,,,
,1.06880,56.0658093,,,0.824327,33.67549734,,,,,,,,,
,,,,,0.832928,36.05297601,,,,,,,,,
,,,,,0.854411,40.85370666,,,,,,,,,
,,,,,0.878036,46.29265193,,,,,,,,,
,,,,,0.897355,50.12273407,,,,,,,,,
,,,,,0.908110,54.8960132,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
