Author,Chen,,,,,Isotherms shifted by 0.25 mass% to zoom on reversible portion only
DOI,10.1016/S0925-8388(00)00694-0,,,,,
Location,Figure 6,,,,,
,,,,,,
Abs/Des,Des,,Des,,Des,
Temp (K),293,,303,,313,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.0388,0.0946,0.0241,0.0890,0.0045,0.0889
,0.1420,0.1946,0.0738,0.2098,0.0788,0.2335
,0.2792,0.3184,0.2307,0.4063,0.1378,0.3534
,0.4162,0.4141,0.3922,0.5976,0.2407,0.5435
,0.5824,0.5069,0.5487,0.8266,0.3241,0.7393
,0.7290,0.6016,0.6954,1.0429,0.4366,0.9179
,0.8853,0.6926,0.8420,1.2189,0.5832,1.1582
,1.0320,0.8220,1.0033,1.5383,0.7348,1.4614
,1.1886,1.2274,1.1208,2.0000,0.8864,1.8440
,1.2770,2.1658,1.2286,2.9382,0.9990,2.5097
,1.3615,8.3383,1.3225,8.7230,1.0774,3.5739
,1.4410,33.0963,1.3824,32.5553,1.1857,8.3088
,,,,,1.2694,15.8249
,,,,,1.3531,32.5361
