Author,Chen,,,,,Isotherms shifted by 0.2 mass% to zoom on reversible portion only
DOI,10.1016/S0925-8388(00)00694-0,,,,,
Location,Figure 7a,,,,,
,,,,,,
Abs/Des,Des,,Des,,Des,
Temp (K),293,,303,,313,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.059,0.089,0.038,0.082,0.059,0.229
,0.133,0.305,0.08,0.204,0.117,1.191
,0.175,0.796,0.143,0.88,0.164,2.219
,0.26,1.486,0.212,1.614,0.286,4.075
,0.355,2.083,0.275,2.545,0.439,5.348
,0.471,2.31,0.407,3.07,0.513,5.356
,0.619,2.478,0.566,3.349,0.592,5.549
,0.751,2.569,0.698,3.473,0.756,5.757
,0.872,2.664,0.804,3.723,0.841,5.767
,0.999,2.762,0.93,3.732,0.957,5.879
,1.126,2.769,1.015,3.739,1.01,5.985
,1.205,2.82,1.11,3.874,1.073,6.303
,1.321,2.875,1.253,4.018,1.158,6.867
,1.406,2.978,1.321,4.526,1.263,7.872
,1.506,3.531,1.39,5.273,1.353,8.294
,1.57,6.053,1.496,7.52,1.501,12.245
,1.633,33.658,1.559,11.084,1.559,18.662
,,,1.612,32.531,1.601,31.449
