Author,Ni,,,,,,,,,,,
DOI,10.1016/j.ijhydene.2006.09.038,,,,,,,,,,,
Location,Figure 1,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Des,,Abs,,Des,,Abs,,Des,,Abs,
Temp (K),313,,313,,373,,373,,423,,423,
,mass %,eq. pressure ,mass %,eq. pressure ,mass %,eq. pressure ,mass %,eq. pressure ,mass %,eq. pressure ,mass %,eq. pressure 
,0.067,0.005,0.039,0.017,0.049,0.007,0.006,0.011,0.038,0.004,0.019,0.043
,0.075,0.008,0.05,0.024,0.088,0.018,0.012,0.03,0.046,0.012,0.027,0.093
,0.088,0.013,0.09,0.029,0.09,0.039,0.01,0.051,0.059,0.039,0.036,0.213
,0.115,0.017,0.197,0.03,0.09,0.063,0.012,0.071,0.081,0.151,0.053,0.374
,0.175,0.019,0.335,0.031,0.09,0.075,0.012,0.088,0.1,0.294,0.075,0.557
,0.213,0.019,0.417,0.032,0.096,0.087,0.027,0.119,0.114,0.452,0.087,0.711
,0.251,0.021,0.664,0.035,0.107,0.116,0.036,0.143,0.122,0.644,0.1,0.82
,0.3,0.021,0.907,0.039,0.129,0.16,0.047,0.165,0.164,0.735,0.115,0.926
,0.34,0.021,1.178,0.044,0.147,0.179,0.06,0.181,0.374,0.908,0.137,1.13
,0.362,0.022,1.262,0.05,0.343,0.196,0.072,0.218,0.636,1.005,0.155,1.208
,0.389,0.022,1.307,0.057,0.452,0.214,0.092,0.252,0.823,1.052,0.173,1.277
,0.409,0.022,1.362,0.09,0.659,0.242,0.136,0.278,0.941,1.088,0.202,1.306
,0.464,0.022,1.393,0.162,0.763,0.259,0.214,0.304,0.992,1.138,0.215,1.35
,0.547,0.023,1.422,0.343,0.81,0.262,0.3,0.318,1.078,1.19,0.233,1.365
,0.598,0.023,1.439,0.695,0.854,0.277,0.321,0.321,1.152,1.231,0.262,1.38
,0.62,0.023,1.439,0.946,0.957,0.286,0.443,0.329,1.227,1.302,0.293,1.381
,0.673,0.023,1.461,1.539,1.113,0.303,0.587,0.34,1.252,1.376,0.349,1.412
,0.716,0.023,,,1.166,0.331,0.721,0.364,1.268,1.454,0.407,1.428
,0.765,0.023,,,1.208,0.342,0.846,0.394,1.283,1.624,0.484,1.494
,0.814,0.024,,,1.277,0.404,0.965,0.416,1.299,1.854,0.605,1.495
,0.867,0.024,,,1.319,0.557,1.093,0.441,1.316,2.048,0.74,1.53
,0.916,0.024,,,1.354,0.838,1.184,0.451,1.327,2.365,0.869,1.601
,0.971,0.024,,,1.37,1.408,1.237,0.498,1.343,2.822,1.012,1.639
,1.009,0.024,,,,,1.273,0.569,1.359,3.331,1.099,1.695
,1.071,0.025,,,,,1.295,0.635,1.365,3.559,1.178,1.753
,1.112,0.027,,,,,1.319,0.75,,,1.203,1.853
,1.163,0.029,,,,,1.326,0.837,,,1.243,1.916
,1.212,0.031,,,,,1.339,0.885,,,1.25,1.959
,1.265,0.036,,,,,1.346,1.033,,,1.268,2.048
,1.316,0.045,,,,,1.357,1.233,,,1.285,2.188
,1.365,0.059,,,,,1.37,1.795,,,1.303,2.471
,1.416,0.16,,,,,1.405,2.855,,,1.319,2.76
,1.438,0.284,,,,,,,,,1.338,3.083
,,,,,,,,,,,1.354,3.368
,,,,,,,,,,,1.358,3.482
,,,,,,,,,,,1.365,3.639
,,,,,,,,,,,1.365,3.846
