Author,Lexcellent,,,,,,,,,,,,,
DOI,10.1016/j.intermet.2006.11.002,,,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abs/Des,Abs,,Abs,,Abs,,Abs,,Abs,,Abs,,Abs,
Temp (K),273,,298,,323,,373,,423,,473,,513,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.025,0.014,0.017,0.026,0.028,0.152,0.011,0.257,0.057,5.623,0.037,6.933,0.051,12.991
,0.028,0.02,0.034,0.073,0.045,0.3,0.028,0.731,0.092,11.7,0.08,17.783,0.126,56.234
,0.063,0.077,0.04,0.111,0.074,0.624,0.051,2.434,0.132,17.783,0.132,31.623,0.198,90.063
,0.109,0.111,0.057,0.187,0.115,1.233,0.086,3.511,0.175,20.806,0.213,53.367,0.29,116.999
,0.178,0.117,0.109,0.411,0.27,1.233,0.109,5.926,0.27,23.101,0.256,59.255,0.443,123.285
,0.23,0.117,0.178,0.411,0.443,1.369,0.218,6.933,0.443,23.101,0.328,59.255,0.593,136.887
,0.311,0.123,0.23,0.433,0.613,1.369,0.414,6.933,0.587,24.342,0.478,65.793,0.685,136.887
,0.391,0.123,0.282,0.411,0.772,1.369,0.61,6.933,0.729,25.65,0.685,62.439,0.76,144.242
,0.455,0.123,0.337,0.411,0.916,1.442,0.749,6.579,0.853,28.48,0.772,73.053,0.795,160.157
,0.535,0.13,0.616,0.433,1.043,1.52,0.87,6.579,0.985,30.01,0.927,73.053,,
,0.616,0.137,0.861,0.481,1.158,1.602,0.974,7.305,1.129,43.288,0.988,85.471,,
,0.682,0.137,1.132,0.534,1.262,2.081,1.043,7.698,1.216,53.367,,,,
,0.76,0.144,1.181,0.562,1.314,2.703,1.115,8.111,1.262,73.053,,,,
,0.832,0.137,1.256,0.593,1.337,3.511,1.236,10,,,,,,
,0.902,0.137,1.314,0.731,1.377,5.337,1.262,16.876,,,,,,
,0.979,0.137,1.377,1.299,,,1.285,23.101,,,,,,
,1.066,0.137,1.4,2.31,,,,,,,,,,
,1.129,0.152,,,,,,,,,,,,
,1.204,0.152,,,,,,,,,,,,
,1.294,0.187,,,,,,,,,,,,
,1.314,0.187,,,,,,,,,,,,
,1.337,0.208,,,,,,,,,,,,
,1.351,0.219,,,,,,,,,,,,
,1.389,0.333,,,,,,,,,,,,
,1.415,0.693,,,,,,,,,,,,
,1.441,2.081,,,,,,,,,,,,
