Author,Luo,,,,,,,,,,,,,,,,,,,
DOI,10.1016/S0925-8388(97)00536-7,,,,,,,,,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),248,,248,,262,,262,,273,,273,,298,,298,,323,,323,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.064,0.022,0.064,0.055,0.039,0.023,0.072,0.157,0.052,0.139,0.043,0.128,0.076,0.861,0.054,0.284,0.066,0.946,0.07,0.64
,0.074,0.071,0.099,0.124,0.118,0.401,0.083,0.195,0.076,0.343,0.074,0.236,0.101,1.97,0.064,0.44,0.085,2.303,0.093,1.822
,0.099,0.145,0.188,0.136,0.266,0.419,0.115,0.271,0.12,0.748,0.095,0.388,0.144,2.231,0.101,1.292,0.115,3.735,0.159,3.347
,0.116,0.167,0.274,0.138,0.406,0.406,0.144,0.284,0.204,0.747,0.107,0.447,0.287,2.193,0.223,1.791,0.173,4.867,0.223,4.293
,0.157,0.175,0.369,0.138,0.58,0.405,0.305,0.307,0.283,0.77,0.217,0.556,0.493,2.188,0.419,1.732,0.208,5.777,0.505,4.347
,0.254,0.192,0.472,0.136,0.984,0.403,0.51,0.316,0.45,0.734,0.516,0.571,0.887,2.178,0.65,1.783,0.435,5.945,0.792,4.685
,0.39,0.177,0.561,0.134,1.341,0.441,0.722,0.31,0.652,0.755,0.804,0.543,1.223,2.204,0.838,1.724,0.67,6.117,1.159,4.665
,0.59,0.18,0.65,0.136,1.438,0.875,0.947,0.314,0.837,0.754,0.988,0.509,1.386,2.653,1.036,1.747,0.949,6.098,1.359,6.666
,0.858,0.176,0.759,0.138,1.463,2.033,1.159,0.318,1.025,0.729,1.091,0.542,1.429,4.438,1.244,1.827,1.308,6.774,1.411,12.634
,1.134,0.187,0.85,0.133,,,1.316,0.298,1.246,0.716,1.194,0.524,1.448,6.256,1.357,1.912,1.378,7.79,,
,1.376,0.313,0.941,0.133,,,1.366,0.343,1.277,0.727,1.353,0.566,1.46,8.682,1.417,3.681,1.392,9.541,,
,1.465,1.94,1.036,0.129,,,1.405,0.499,1.409,1.089,1.417,1.056,,,,,1.423,14.767,,
,,,1.126,0.129,,,,,1.421,1.234,1.458,2.651,,,,,1.44,22.858,,
,,,1.221,0.133,,,,,1.446,2.065,,,,,,,,,,
,,,1.359,0.181,,,,,1.467,3.916,,,,,,,,,,
,,,1.417,0.354,,,,,,,,,,,,,,,,
,,,1.471,1.419,,,,,,,,,,,,,,,,
