Author,Kierstead,,,,,,,,,
DOI,10.1016/0022-5088(84)90187-5,,,,,,,,,
Location,Figure 1,,,,,,,,,
,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,,Des,
Temp (K) ,273,,293,,313,,333,,353,
,wt %,P (bar),wt %,P (bar),wt %,P (bar),wt %,P (bar),wt %,P (bar)
,0.021873432,0.168268066,0.018728607,0.360752132,0.014186302,0.262044053,0.011893407,0.285898824,0.009369245,0.283817565
,0.042742734,0.235106847,0.032630275,0.63126708,0.013964919,0.399335558,0.013690167,0.595439366,0.010685684,0.485833455
,0.056634518,0.245637504,0.063258219,0.791096976,0.014640928,0.526279873,0.015486928,1.240117161,0.018473622,1.508891941
,0.069237537,0.252932985,0.151159134,0.851962715,0.025352308,1.16183366,0.025593457,2.138601915,0.019967957,2.777495304
,0.114512339,0.270227111,0.241441894,0.872061101,0.035209782,1.80986142,0.030455977,3.355438124,0.024207837,3.379542811
,0.162186776,0.27640286,0.285410141,0.911584751,0.074556659,2.219535895,0.034624698,3.965838593,0.027301269,4.295182307
,0.198600328,0.284726622,0.318259822,1.017083841,0.128354707,2.142318989,0.051111803,4.296910941,0.030554809,5.827705462
,0.237520252,0.293313474,0.338808909,1.246911539,0.186090211,2.22372327,0.066274562,4.522198837,0.033630451,7.353033405
,0.279035496,0.31334868,0.350941489,1.767438235,0.224903397,2.193089979,0.121521484,4.728055516,0.032608532,8.081063188
,0.294269415,0.339500165,0.361589617,2.279462696,0.252491278,2.210108005,0.191788847,4.908752603,0.036599356,8.881928154
,0.313209522,0.359927963,0.37352651,2.982904433,0.290211385,2.326871242,0.269557536,5.060112838,0.06563611,9.695612549
,0.327812894,0.502843888,0.38034392,3.736639256,0.316688398,2.485179941,0.304753482,5.288663761,0.109604357,10.13503818
,0.346976361,0.974181922,0.386983434,4.352872612,0.331993475,2.771971615,0.318591897,5.406438187,0.156025607,10.36644401
,0.370636671,1.528964177,0.403523908,4.820159278,0.350427564,3.987060052,0.33515016,6.030473016,0.20493544,10.52683738
,0.38116027,1.87414255,0.428765524,5.185520842,0.36116464,5.332299615,0.354801855,8.548997,0.231412453,11.24303083
,0.418880377,1.97315624,0.487772003,5.421917307,0.377448151,8.868583128,0.369334069,11.60149436,0.249081584,11.83300636
,0.454005164,2.003218912,0.574295205,5.549471477,0.404369907,11.35814336,0.373360472,12.93784953,0.280535762,12.45684227
,0.486605789,2.018934589,0.702137964,5.602017511,0.429682682,12.57931984,,,0.288197195,13.20385624
,0.528067665,2.110347579,0.776075937,5.609021543,0.487329237,12.5915803,,,,
,0.5606505,2.111509903,0.898870372,5.5799942,0.58631314,12.52137806,,,,
,0.590780333,2.159125935,0.952917477,5.962406443,0.692851737,12.63538884,,,,
,0.654692817,2.161459194,0.993695437,7.863115816,0.82570724,12.75610952,,,,
,0.708579814,2.163428411,1.012040577,10.90649356,0.937240792,12.78017519,,,,
,0.764973183,2.165491141,1.022493018,12.98588758,0.986168414,13.07252916,,,,
,0.827596903,2.136519551,,,,,,,,
,0.882790455,2.185625106,,,,,,,,
,0.912902497,2.218736957,,,,,,,,
,0.944570151,2.548444273,,,,,,,,
,0.960053126,3.056702185,,,,,,,,
,0.980851269,4.148564845,,,,,,,,
,0.998014382,5.923767148,,,,,,,,
,1.011186671,7.695898333,,,,,,,,
,1.036082377,11.99143226,,,,,,,,
