Author,Kapischke,,,,,,,,,
DOI,10.1016/S0894-1777(98)10007-9,,,,,,,,,
Location,Figure 4,,,,,,,,,
,,,,,,,,,,
Abs/Des,Abs,,Abs,,Abs,,Abs,,Abs,
Temp (K),547,,573,,593,,623,,653,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,1.003,0.746,0.798,1.56,0.593,2.619,0.889,4.745,1.208,9.157
,1.596,0.835,1.414,1.568,1.094,2.87,1.505,5.65,1.801,10.388
,2.394,0.844,1.915,1.655,2.098,3.127,2.417,5.987,2.303,11.047
,2.919,0.932,2.531,1.662,2.987,3.219,2.919,6.32,3.215,12.037
,3.397,1.019,3.215,1.752,4.013,3.394,3.511,6.572,4.013,12.537
,3.899,1.025,3.808,1.84,5.313,3.491,4.195,6.906,4.811,13.117
,4.378,1.112,4.515,1.767,6.02,3.662,4.925,7.404,5.016,13.446
,5.016,1.12,5.107,1.855,6.704,5.303,5.7,7.822,,
,5.609,1.208,5.814,1.945,7.114,6.614,6.521,8.239,,
,6.316,1.38,6.498,2.035,,,,,,
,6.909,1.468,7.205,3.513,,,,,,
,7.502,3.108,,,,,,,,
