Author,Streukens,,,
DOI,10.1039/b603268k,,,
Location,Figure 1 4 mol % Ti,,,
,,,,
Abs/Des,Abs,,Des,
Temp (K),433,,433,
,mass %,eq pressure (bar),mass %,ep pressure (bar)
,0.05,5.66,9.01E-02,2.51E+00
,0.23,7.39,4.62E-01,5.54E+00
,1.37,8.05,1.05E+00,6.72E+00
,1.66,9.38,1.60E+00,7.05E+00
,1.67,12.97,1.71E+00,1.07E+01
,1.68,18.24,1.69E+00,2.10E+01
,1.69,63.18,1.69E+00,6.72E+01
,1.72,75.85,1.90E+00,7.19E+01
,1.75,78.39,2.05E+00,7.36E+01
,1.77,81.98,2.29E+00,7.55E+01
,1.84,87.48,2.50E+00,7.64E+01
,2,89.41,2.76E+00,7.78E+01
,2.4,91.08,3.20E+00,7.83E+01
,2.91,91.18,3.65E+00,7.90E+01
,3.25,92.2,3.85E+00,8.05E+01
,3.51,94.16,4.04E+00,8.20E+01
,3.67,96.09,4.10E+00,9.03E+01
,3.84,98.03,4.08E+00,1.01E+02
,3.89,100.99,4.09E+00,1.07E+02
,3.96,103.75,4.09E+00,1.09E+02
,4.01,106.08,,
,4.05,107.99,,
,4.08,109.26,,
