Author,Esayed,,,,,,,,,,,
DOI,10.1016/S0360-3199(99)00025-7,,,,,,,,,,,
Location,Figure 1,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),320,,320,,350,,350,,375,,375,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.083,0.269,0.076,0.071,0.083,0.371,0.06,0.131,0.175,0.974,0.086,0.164
,0.11,0.519,0.128,0.113,0.142,0.716,0.099,0.214,0.332,1.143,0.178,0.316
,0.214,0.669,0.242,0.117,0.293,0.886,0.256,0.277,0.463,1.239,0.361,0.371
,0.361,0.807,0.507,0.122,0.446,0.987,0.413,0.296,0.632,1.29,0.524,0.381
,0.511,0.852,0.379,0.122,0.593,1.041,0.543,0.308,0.812,1.514,0.651,0.392
,0.687,0.898,0.647,0.122,0.704,1.084,0.687,0.325,0.942,1.927,0.772,0.419
,0.824,0.935,0.797,0.126,0.815,1.256,0.814,0.366,,,0.902,0.473
,0.952,2.356,0.957,0.151,0.956,2.958,0.938,0.436,,,0.958,1.069
,,,0.947,0.262,,,0.951,0.687,,,,
,,,0.948,0.526,,,,,,,,
,,,0.955,0.898,,,,,,,,
