Author,Goudy,,,,,,,,,,,,,,,,,
DOI,"Andrew Goudy Thesis, University of Pittsburg 1976",,,,,,,,,,,,,,,,,
Location,Figure 16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,,,,,,,,,,,,
Temp (K),323,,348,,374,,,,,,,,,,,,,
,wt %,P (bar),wt %,P (bar),wt %,P (bar),,,,,,,,,,,,
,0.039759483,0.015281053,0.005308385,0.014646587,0.025286925,0.074613982,,,,,,,,,,,,
,0.054979702,0.023118972,0.033666056,0.040366748,0.047129273,0.175754289,,,,,,,,,,,,
,0.083065011,0.030752484,0.122210345,0.091017368,0.068758005,0.233805049,,,,,,,,,,,,
,0.111075553,0.033492199,0.210466251,0.094894013,0.111892639,0.297900055,,,,,,,,,,,,
,0.145526652,0.034943026,0.326716679,0.103230132,0.170012512,0.306302805,,,,,,,,,,,,
,0.179967069,0.035429945,0.4348817,0.455365401,0.230289919,0.319464582,,,,,,,,,,,,
,0.218706531,0.035412192,0.517375285,3.040594873,0.297023902,0.333164087,,,,,,,,,,,,
,0.259608866,0.036419162,0.564798282,3.711425432,0.366016886,0.462328251,,,,,,,,,,,,
,0.294049284,0.03692665,0.620771303,3.871120289,0.426668122,1.310579139,,,,,,,,,,,,
,0.332810107,0.039078332,0.672429259,3.924188773,0.469973649,2.637485945,,,,,,,,,,,,
,0.371651037,0.051237011,0.734853517,4.034652141,0.502438109,4.284753683,,,,,,,,,,,,
,0.490918806,0.563763927,0.795152285,4.455450416,0.534827802,5.699192841,,,,,,,,,,,,
,0.566581984,1.385131529,0.898665793,7.76686022,0.610304065,8.493497155,,,,,,,,,,,,
,0.614010322,1.715049422,0.941827129,10.62868182,0.651243783,9.653566307,,,,,,,,,,,,
,0.67643458,1.763326951,0.989378296,18.27865523,0.730901601,10.35756296,,,,,,,,,,,,
,0.730250069,1.813165392,,,0.791162986,10.34949102,,,,,,,,,,,,
,0.786212409,1.837919394,,,0.860086544,11.92796819,,,,,,,,,,,,
,0.848652689,1.972390937,,,0.885955576,13.36746064,,,,,,,,,,,,
,0.911173075,2.622474023,,,0.905378711,15.41610007,,,,,,,,,,,,
,0.941480001,4.200060538,,,0.922649653,17.77920021,,,,,,,,,,,,
,0.96532501,6.631820135,,,0.942083469,21.0981665,,,,,,,,,,,,
,0.993442362,9.610922585,,,0.967973862,25.03461592,,,,,,,,,,,,
,1.017266009,14.33271589,,,,,,,,,,,,,,,,
,1.045361999,19.61765336,,,,,,,,,,,,,,,,
