Author,Komazaki,,,,,,,,,,,
DOI,10.1016/0022-5088(83)90279-5,,,,,,,,,,,
Location,Figure 1,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),393,,393,,413,,413,,433,,433,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.324,0.456,0.523,0.871,0.227,0.387,0.189,0.254,0.191,0.653,0.13,0.285
,0.747,1.234,0.587,0.955,0.342,0.898,0.275,0.566,0.433,2.307,0.278,1.209
,0.947,1.484,0.723,1.125,0.541,1.822,0.386,1.114,0.701,4.269,0.559,3.269
,1.235,1.822,0.918,1.286,0.653,2.307,0.546,1.822,0.862,5.082,0.847,4.73
,1.445,2.307,1.177,1.531,0.931,3.372,0.741,2.453,1.022,5.927,0.993,5.349
,1.789,8.752,1.357,1.785,1.184,4.139,0.902,2.921,1.198,6.772,1.13,5.927
,1.943,26.225,1.44,1.898,1.467,5.134,1.068,3.337,1.379,7.98,1.315,6.772
,2.015,45.164,1.572,2.355,1.686,8.662,1.229,3.853,1.564,10.744,1.486,8.145
,,,1.683,4.447,1.768,14.615,1.429,4.402,1.67,14.918,1.738,20.714
,,,1.856,14.319,1.898,37.167,1.531,4.73,1.791,31.867,,
,,,,,1.942,50.042,1.648,6.913,1.839,52.137,,
,,,,,,,1.826,19.881,,,,
