Author,Komazaki,,,,,,,,,,,,,,,
DOI,10.1016/0022-5088(83)90279-5,,,,,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),373,,373,,393,,393,,413,,413,,433,,433,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.265,2.199,0.27,1.684,0.323,4.744,0.21,2.488,0.182,4.374,0.223,4.896,0.172,6.012,0.199,6.328
,0.396,2.989,0.352,1.904,0.481,6.188,0.287,3.214,0.267,6.937,0.331,6.724,0.222,8.606,0.317,9.336
,0.569,3.628,0.479,2.336,0.64,6.92,0.35,3.709,0.367,8.776,0.499,8.504,0.294,11.464,0.394,11.457
,0.7,4.1,0.614,2.778,0.803,7.66,0.459,4.412,0.516,10.227,0.621,9.512,0.366,13.924,0.52,14.054
,0.868,4.632,0.723,3.045,0.962,8.744,0.532,4.738,0.643,11.439,0.757,10.748,0.47,15.9,0.693,16.374
,1.067,5.622,0.864,3.476,1.13,10.723,0.654,5.355,0.848,13.462,0.88,12.023,0.57,17.971,0.824,18.887
,1.23,7.258,1.018,3.927,1.247,13.291,0.777,5.808,1.011,16.175,1.038,13.724,0.683,19.494,0.956,22.466
,1.366,10.49,1.113,4.485,1.32,16.819,0.894,6.564,1.11,18.66,1.138,16.162,0.819,22.028,1.11,26.447
,1.433,18.245,1.226,5.336,1.378,23.107,1.071,7.886,1.192,21.753,1.274,21.966,0.942,25.41,1.209,31.789
,1.482,24.557,1.344,7.033,1.427,31.422,1.239,10.499,1.296,28.093,1.364,33.43,1.051,28.719,1.263,37.832
,1.509,33.058,1.433,14.411,1.454,38.176,1.383,19.609,1.354,38.594,,,1.164,33.471,1.318,46.43
,1.545,44.959,,,1.499,51.916,,,1.399,50.894,,,1.259,41.491,,
,,,,,,,,,,,,,1.326,52.508,,
,,,,,,,,,,,,,1.358,59.985,,
