Author,Herbrig,,,,,,,,,,,,,,,,,,,
DOI,10.1016/j.ijhydene.2013.03.104,,,,,,,,,,,,,,,,,,,
Location,Figure 4a,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Abs/Des,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,
Temp (K),273.15,,273.15,,298.15,,295.15,,323.15,,323.15,,348.15,,348.15,,373.15,,373.15,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.145,0.545,0.088,0.545,0.161,1.091,0.129,0.545,0.177,1.636,0.121,1.091,0.104,1.636,0.072,0.545,0.032,0.545,0.113,3.273
,0.217,0.545,0.153,0.545,0.225,2.727,0.177,1.091,0.209,3.273,0.169,2.182,0.153,3.273,0.121,2.182,0.056,0.545,0.145,4.909
,0.265,1.636,0.217,1.091,0.273,3.818,0.225,2.727,0.241,4.909,0.209,3.818,0.193,4.909,0.169,3.818,0.08,1.636,0.169,7.091
,0.321,2.182,0.257,2.182,0.362,5.455,0.265,3.818,0.273,7.636,0.241,6,0.217,7.091,0.193,6.545,0.129,4.364,0.177,9.273
,0.386,2.727,0.313,2.727,0.434,7.091,0.305,4.909,0.297,9.818,0.257,8.727,0.249,9.818,0.217,8.727,0.177,8.182,0.193,11.455
,0.595,2.727,0.426,4.364,0.522,7.636,0.338,6.545,0.321,10.909,0.289,10.909,0.281,13.091,0.241,11.455,0.209,13.091,0.201,13.636
,0.82,3.273,0.595,4.909,0.643,7.636,0.45,8.727,0.354,12.545,0.321,13.091,0.297,15.818,0.265,14.182,0.241,18,0.209,15.273
,1.053,3.273,0.763,5.455,0.755,8.727,0.579,10.364,0.394,14.727,0.346,14.727,0.321,18.545,0.281,16.364,0.273,21.818,0.225,18.545
,1.286,3.818,0.94,6,0.868,8.727,0.699,11.455,0.426,15.818,0.386,16.909,0.362,21.273,0.305,18,0.281,25.636,0.233,20.727
,1.479,4.364,1.109,6.545,0.988,8.727,0.796,12,0.474,16.364,0.474,18.545,0.386,24.545,0.313,20.727,0.297,29.455,0.249,22.909
,1.559,5.455,1.286,7.091,1.109,8.727,0.964,13.636,0.506,17.455,0.546,20.727,0.418,26.727,0.338,23.455,0.321,33.273,0.257,25.091
,1.631,6,1.454,7.636,1.229,9.273,1.141,14.727,0.563,18,0.627,21.818,0.45,29.455,0.362,25.636,0.346,38.182,0.273,27.818
,1.671,7.091,1.623,8.727,1.334,9.818,1.334,15.273,0.651,19.091,0.683,22.909,0.474,31.091,0.378,27.273,0.37,43.091,0.281,29.455
,1.712,8.182,1.704,10.364,1.414,10.364,1.438,15.818,0.739,19.636,0.804,25.091,0.514,33.273,0.402,29.455,0.394,47.455,0.289,32.182
,1.728,9.273,1.752,12.545,1.471,10.909,1.567,17.455,0.82,19.636,0.932,26.727,0.563,34.364,0.426,31.636,0.426,51.273,0.305,34.909
,1.76,10.909,1.808,17.455,1.527,12,1.615,18.545,0.908,20.182,1.013,27.273,0.595,35.455,0.482,33.818,0.45,55.091,0.329,38.727
