Author,Voskuilen,,,,,,,,,,,
DOI,10.1016/j.ijhydene.2010.07.169,,,,,,,,,,,
Location,Figure 4,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),263,,263,,274,,274,,284,,284,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.026,2.284,0.008,0.952,0.041,1.524,0.006,0.921,0.028,2.21,0.004,0.796
,0.037,4.532,0.012,1.355,0.057,3.361,0.013,1.503,0.038,4.014,0.013,1.387
,0.054,8.541,0.019,2.052,0.076,6.418,0.027,2.991,0.052,7.626,0.022,2.104
,0.067,11.778,0.032,3.677,0.09,10.009,0.042,4.914,0.062,11.232,0.026,2.642
,0.077,15.202,0.036,4.289,0.104,14.632,0.053,6.652,0.069,13.785,0.038,3.76
,0.09,20.657,0.042,5.031,0.113,18.012,0.058,7.404,0.079,18.128,0.053,5.962
,0.101,25.309,0.047,5.889,0.123,21.504,0.061,8.018,0.087,22.124,0.06,7.043
,0.111,29.509,0.052,6.737,0.134,27.268,0.066,8.796,0.095,26.567,0.069,8.518
,0.118,32.8,0.056,7.574,0.149,34.869,0.073,10.148,0.102,30.194,0.078,9.954
,0.13,39.72,0.062,8.381,0.156,41.647,0.081,11.628,0.108,34.4,0.09,12.309
,0.14,44.139,0.068,9.606,0.163,47.187,0.087,12.868,0.117,40.389,0.098,13.891
,0.15,50.292,0.074,10.936,0.17,56.647,0.095,14.578,0.124,45.996,0.105,15.314
,0.16,54.757,0.082,12.484,0.174,59.08,0.108,17.519,0.134,53.246,0.114,17.03
,0.17,60.268,0.09,14.261,0.183,65.456,0.116,19.337,0.141,57.967,0.127,19.803
,0.18,66.071,0.101,16.47,0.189,75.261,0.121,20.512,0.151,63.645,0.134,21.658
,0.193,72.921,0.113,18.897,0.198,82.215,0.126,22.195,0.158,69.876,0.144,24.177
,0.204,79.637,0.124,21.511,0.204,88.076,0.134,24.664,0.166,76.953,0.158,27.245
,0.224,85.213,0.138,24.021,0.226,97.231,0.147,27.856,0.173,86.031,0.171,30.782
,0.275,90.074,0.178,26.33,0.245,108.995,0.156,30.001,0.177,90.91,0.182,34.193
,0.42,95.945,0.251,27.778,0.276,116.363,0.169,34.289,0.182,96.593,0.198,38.61
,0.515,98.788,0.433,28.78,0.324,119.387,0.192,38.181,0.188,107.006,0.21,43.176
,0.694,101.971,0.539,29.248,0.48,125.902,0.227,40.155,0.194,115.986,0.22,45.449
,0.865,105.313,0.662,29.673,0.666,130.823,0.312,41.858,0.203,124.972,0.232,51.133
,1.035,108.871,0.775,30.133,0.922,136.358,0.417,43.751,0.214,129.569,0.266,56.341
,1.164,112.02,0.902,30.537,0.927,136.206,0.665,44.517,0.264,137.366,0.366,59.155
,1.325,116.436,1.019,31.456,1.18,142.254,0.799,45.185,0.401,145.557,0.407,60.272
,1.409,119.797,1.21,31.696,1.306,146.621,0.952,46.075,0.497,148.902,0.601,61.683
,1.51,124.883,1.331,32.264,1.505,154.209,1.118,46.977,0.655,153.107,0.739,62.845
,1.553,128.657,1.444,33.183,1.604,159.006,1.307,48.046,0.88,158.239,0.921,63.809
,1.608,134.724,1.539,34.611,1.707,170.087,1.443,49.675,1.054,162.103,1.076,64.761
,1.641,141.892,1.603,37.67,1.742,182.537,1.492,51.405,1.209,167.14,1.244,66.223
,1.664,152.46,1.643,42.81,1.772,192.594,1.547,55.488,1.352,172.653,1.384,68.512
,1.68,164.953,1.668,48.237,1.782,201.399,1.573,60.392,1.492,179.919,1.484,72.49
,1.685,174.786,1.684,53.107,1.79,206.604,1.594,65.709,1.595,187.334,1.535,78.806
,1.689,190.461,1.699,59.917,,,1.606,73.599,1.676,196.148,1.549,81.928
,1.703,200.745,1.705,62.435,,,1.615,76.844,1.723,204.664,1.571,87.557
,1.709,211.853,1.708,68.049,,,1.626,80.691,1.759,212.375,1.582,90.909
,1.722,222.78,1.725,76.006,,,1.64,86.504,1.78,224.021,1.593,94.731
,1.733,232.584,1.738,83.282,,,1.659,95.454,1.792,234.601,1.61,100.954
,1.745,243.778,1.749,90.884,,,1.677,105.515,1.8,243.881,1.618,104.522
,1.753,255.666,1.757,97.542,,,1.683,109.358,,,1.626,108.527
,,,1.759,100.355,,,1.694,116.092,,,1.641,115.397
,,,1.765,104.326,,,1.709,126.58,,,1.662,126.656
,,,1.771,110.432,,,1.719,134.762,,,1.676,135.275
,,,1.78,120.913,,,,,,,,
,,,1.784,127.867,,,,,,,,
,,,1.792,139.849,,,,,,,,
,,,1.797,152.563,,,,,,,,
