Author,Oguro,,,,,,,
DOI,10.1016/0022-5088(83)90280-1,,,,,,,
Location,Figure 5,,,,,,,
,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,
Temp (K),393,,393,,423,,423,
,mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar)
,0.150713594,1.52620962,0.12918308,1.235862008,0.079970478,1.48878682,0.076894691,1.348049472
,0.175319895,1.932146544,0.159940957,1.564573095,0.107652567,2.160516477,0.095349416,1.861519354
,0.221456709,2.5075385,0.19377462,2.030501922,0.138410443,3.096647809,0.123031505,2.668098063
,0.270669311,3.020717721,0.239911435,2.538858199,0.172244107,4.119846479,0.150713594,3.462655891
,0.319881913,3.377751252,0.286048249,2.838938376,0.23375986,5.689089394,0.203001983,4.841298886
,0.384473453,3.638921418,0.366018727,3.174486509,0.286048249,6.853387556,0.242987222,5.978690892
,0.452140781,3.776984337,0.436761843,3.254281797,0.378321878,8.359083451,0.2983514,7.025657316
,0.522883896,3.824159691,0.498277595,3.419940098,0.458292356,9.231777857,0.350639789,7.856054417
,0.615157525,3.969250664,0.618233313,3.505905215,0.532111259,9.582037194,0.424458692,8.154117959
,0.698203791,4.069023493,0.713582729,3.549694731,0.618233313,9.701718917,0.498277595,8.569201045
,0.768946906,4.22340475,0.79047742,3.638921418,0.692052216,10.06980811,0.565944923,8.676232225
,0.842765809,4.493832512,0.861220535,3.730390945,0.772022694,10.1955822,0.633612251,8.784600247
,0.895054199,4.722589795,0.910433137,4.018827466,0.833538446,10.71458544,0.719734304,8.784600247
,0.947342589,5.280775982,0.941191013,4.493832512,0.885826836,10.98391197,0.787401632,8.676232225
,0.97194889,6.283034474,0.978100465,5.151290871,0.944266801,11.68722006,0.870447898,9.117893391
,1.002706766,7.568886213,1.008858341,6.440967589,0.996555191,12.90737436,0.938115226,9.822895491
,1.030388854,9.117893391,1.027313067,7.856054417,1.033464642,14.61323142,0.981176252,10.84841294
,,,1.033464642,9.231777857,1.067298306,18.04639533,1.018085704,12.90737436
,,,,,,,1.045767793,15.54892755
,,,,,,,1.070374094,18.27179872
