Author,Taizhong,,,,,,,,,,,
DOI,10.1016/j.intermet.2003.08.005,,,,,,,,,,,
Location,Figure 5,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),273,,273,,303,,303,,333,,333,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.424,0.407,0.322,0.062,0.268,0.146,0.333,0.127,0.064,0.006,0.225,0.096
,0.462,0.559,0.344,0.089,0.322,0.318,0.403,0.318,0.129,0.041,0.242,0.131
,0.505,0.825,0.387,0.156,0.365,0.522,0.472,0.691,0.183,0.132,0.279,0.24
,0.531,0.885,0.44,0.296,0.403,0.77,0.526,1.175,0.225,0.308,0.333,0.581
,0.574,1.055,0.494,0.485,0.44,1.058,0.558,1.558,0.258,0.562,0.376,0.987
,0.623,1.303,0.574,0.74,0.462,1.308,0.58,1.732,0.29,0.8,0.403,1.357
,0.698,1.609,0.655,0.947,0.483,1.561,0.687,2.94,0.306,1.061,0.44,2.002
,0.73,1.853,0.73,1.089,0.521,1.998,0.757,3.264,0.344,1.566,0.478,2.752
,0.773,2.133,0.773,1.127,0.537,2.144,0.827,3.625,0.376,2.152,0.505,3.524
,0.821,2.287,0.805,1.167,0.569,2.558,0.913,4.168,0.408,3.065,0.531,4.204
,0.859,2.633,0.843,1.297,0.601,2.843,0.988,4.467,0.451,4.065,0.558,5.016
,0.891,2.726,0.897,1.342,0.623,3.16,1.063,4.787,0.494,5.023,0.591,6.199
,0.929,3.029,0.972,1.544,0.66,3.512,1.133,5.315,0.526,6.432,0.628,7.137
,0.956,3.25,1.052,1.714,0.73,4.185,1.256,6.556,0.574,7.67,0.671,8.512
,1.02,3.739,1.138,1.902,0.795,4.648,1.321,6.783,0.633,10.17,0.709,9.458
,1.074,4.153,1.299,2.429,0.875,5.739,1.39,7.531,0.666,10.529,0.795,10.877
,1.127,4.952,1.374,2.794,0.939,6.151,1.449,8.666,0.698,11.701,0.864,12.513
,1.17,5.701,1.428,3.332,1.009,7.076,1.492,9.294,0.752,12.545,0.902,12.953
,1.213,6.334,1.471,3.835,1.101,8.137,1.514,9.289,0.805,14.437,0.945,13.891
,1.256,7.037,1.503,4.74,1.165,9.036,1.594,11.468,0.859,15.478,1.004,14.373
,1.31,8.099,1.519,6.291,1.219,10.037,1.627,13.681,0.913,16.595,1.074,15.96
,1.347,9.324,1.535,7.507,1.288,11.547,1.648,16.324,0.966,19.098,1.165,18.352
,1.38,10.362,1.551,8.647,1.342,12.38,1.675,20.178,1.036,20.468,1.235,21.874
,1.423,12.358,1.573,11.075,1.396,14.248,1.713,25.835,1.09,22.736,1.278,28.003
,1.487,15.262,1.594,14.184,1.439,15.83,,,1.149,25.252,,
,1.53,18.202,1.605,16.929,1.492,17.584,,,1.208,27.07,,
,1.589,20.946,1.632,24.111,1.584,22.486,,,1.224,27.06,,
,1.632,25.881,,,1.659,24.966,,,,,,
,1.67,29.796,,,1.713,28.731,,,,,,
