Author,Yamaguchi,,,,,,,,,,,,,,
DOI,10.1016/0022-5088(85)90377-7,,,,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,,,,,,,,
Temp (K),348,,393,,423,,498,,,,,,,,
,mass %,P (bar),mass %,P (bar),mass %,P (bar),mass %,P (bar),,,,,,,
,0.50327,0.054350566,0.03732,0.025426262,0.024383574,0.032428941,0.029496702,0.175480421,,,,,,,
,0.52987,0.065817694,0.07391,0.033669512,0.025235762,0.071675541,0.040039093,0.320082983,,,,,,,
,0.54661,0.082836183,0.08731,0.04078233,0.048904598,0.122611443,0.047447631,0.680747598,,,,,,,
,0.59649,0.119940529,0.12053,0.050660938,0.078689944,0.134029933,0.074264064,1.011607374,,,,,,,
,0.60995,0.152905458,0.17347,0.059013615,0.098840068,0.18685241,0.10418686,1.256716545,,,,,,,
,0.65334,0.245279253,0.22637,0.066155331,0.135250489,0.209523193,0.140954651,1.965226261,,,,,,,
,0.70997,0.408760001,0.27922,0.070462111,0.174959703,0.234931552,0.170671272,2.01514398,,,,,,,
,0.77603,0.440877604,0.31228,0.075074316,2.18E-01,2.50E-01,2.04E-01,2.231044225,,,,,,,
,0.86181,0.445908227,0.35522,0.078958557,2.71E-01,2.63E-01,2.60E-01,2.437730791,,,,,,,
,0.94759,0.450996251,0.38507,0.092012594,3.20E-01,2.63E-01,3.26E-01,2.732132479,,,,,,,
,1.03994,0.444571032,0.40840,0.114319661,3.63E-01,2.73E-01,3.89E-01,2.909511646,,,,,,,
,1.12908,0.473223467,0.43505,0.145707309,3.93E-01,2.91E-01,4.22E-01,3.099958165,,,,,,,
,1.21822,0.503722541,0.46486,0.163404136,4.13E-01,3.26E-01,4.68E-01,3.849997153,,,,,,,
,1.25130,0.550602309,0.49497,0.242808988,4.36E-01,4.21E-01,5.18E-01,6.335207406,,,,,,,
,1.28779,0.666659629,0.55166,0.425886776,4.63E-01,5.23E-01,5.95E-01,12.62408347,,,,,,,
,1.30452,0.828373351,0.63183,1.082088208,4.86E-01,6.34E-01,6.68E-01,19.72919604,,,,,,,
,1.31137,1.042739917,0.65515,1.344424192,5.09E-01,8.18E-01,7.34E-01,28.1954508,,,,,,,
,1.34473,1.472081112,0.69158,1.526951251,5.33E-01,1.03E+00,7.84E-01,34.13096395,,,,,,,
,1.38805,2.215094678,0.73808,2.047681832,5.66E-01,1.36E+00,9.10E-01,40.73869051,,,,,,,
,1.43474,3.553088028,0.78435,2.237754831,6.06E-01,2.03E+00,9.95E-01,46.23103393,,,,,,,
,1.46513,6.818938609,0.84047,2.323101833,6.56E-01,3.46E+00,1.05E+00,51.82294386,,,,,,,
,1.49221,12.92100495,0.89001,2.443024121,7.29E-01,5.35E+00,,,,,,,,,
,1.51916,21.8211036,0.94280,2.472274807,8.25E-01,6.30E+00,,,,,,,,,
,1.53278,32.43390176,1.01210,2.533380457,8.88E-01,6.80E+00,,,,,,,,,
,1.54968,46.98796305,1.06161,2.59686285,9.77E-01,7.24E+00,,,,,,,,,
,,,1.12099,2.594264417,1.04E+00,7.32E+00,,,,,,,,,
,,,1.17384,2.763153725,1.09E+00,7.41E+00,,,,,,,,,
,,,1.20366,3.138645084,1.15E+00,7.59E+00,,,,,,,,,
,,,1.22692,3.657956939,1.18E+00,7.89E+00,,,,,,,,,
,,,1.25684,4.544267986,1.21E+00,9.19E+00,,,,,,,,,
,,,1.30671,6.496124806,1.24E+00,1.11E+01,,,,,,,,,
,,,1.35011,10.55474251,1.30E+00,1.38E+01,,,,,,,,,
,,,1.39018,16.50436102,1.341000351,21.33389364,,,,,,,,,
,,,1.42031,24.84024556,1.387650774,32.93194902,,,,,,,,,
,,,1.44377,35.07390234,1.421023557,47.0899935,,,,,,,,,
,,,1.46399,52.12646404,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
