Author,Yamaguchi,,,,,,,,,
DOI,10.1016/0022-5088(85)90377-7,,,,,,,,,
Location,Figure 1,,,,,,,,,
,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,,Des,
Temp (K),298,,323,,348,,423,,498,
,wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar)
,0.45930,0.009915451,0.31925,0.014534815,0.26875,0.027191073,0.01248,0.054820078,0.028275822,0.836252101
,0.46834,0.013139276,0.33423,0.0180682,0.29264,0.029744892,0.01603,0.316275244,0.037380753,1.359832334
,0.48331,0.015518671,0.35220,0.022461172,0.29865,0.034681952,0.07885,0.562756719,0.04347418,2.021772887
,0.48938,0.02164331,0.36718,0.027566537,0.31960,0.042567447,0.17730,0.616041526,0.055499482,2.713682623
,0.48651,0.03096475,0.39406,0.031336256,0.31968,0.05568582,0.30559,0.700950428,0.055578187,3.460309375
,0.49258,0.042094521,0.40305,0.036074041,0.33165,0.063292006,0.32057,0.860274627,0.091459401,4.586517798
,0.50162,0.055780776,0.42401,0.046600562,0.34365,0.076688628,0.34159,1.329264743,0.172036795,5.351523832
,0.51068,0.080841161,0.43307,0.065830629,0.35861,0.090576193,0.37452,1.951695626,0.240634453,5.354962766
,0.52866,0.104427955,0.44207,0.07578368,0.37659,0.115516153,0.40146,2.653719386,0.294336146,5.638934972
,0.54667,0.147533283,0.45714,0.123238979,0.39753,0.139978461,0.41944,3.384415327,0.324177784,5.93663949
,0.57361,0.200600918,0.49013,0.222043392,0.41554,0.20288297,0.43742,4.485171217,0.33016351,6.32911226
,0.61843,0.255900269,0.52020,0.466425572,0.45451,0.365560797,0.47929,6.337957204,0.339164881,7.474835341
,0.66315,0.246368952,0.61580,0.778741665,0.50254,0.954600434,0.50621,8.08377745,0.351140474,8.60520948
,0.70492,0.256107628,0.76203,1.020128323,0.52645,1.12756376,0.53315,10.85179759,0.369085224,10.03462382
,0.75264,0.259520798,0.95295,1.146651073,0.54442,1.401711448,0.56902,13.84213629,0.375104089,11.85080352
,0.80333,0.246692582,0.98877,1.238540684,0.59519,1.743048865,0.61083,16.7766996,0.387108679,14.92095502
,0.84808,0.253191537,1.00075,1.462787493,0.66685,2.224111521,0.65860,19.07463926,0.408077359,19.77443686
,0.88983,0.253290561,1.02764,1.684231189,0.70566,2.496401313,0.70936,23.41810252,0.443979285,27.94152724
,0.93756,0.256666188,1.04561,2.147980634,0.76834,2.949793233,0.73924,26.96399886,0.470888125,34.29639476
,0.98230,0.263427892,1.07257,3.073941226,0.83695,3.067166018,0.78701,31.85670269,0.491823666,41.03093309
,1.03300,0.263553002,1.09654,4.28782925,0.87875,3.442764028,0.81987,37.1536189,0.518711794,47.24239
,1.06897,0.451177641,1.12052,6.215071407,0.95035,3.719904689,0.87360,43.33974305,,
,1.09002,0.782207711,1.14148,7.926599379,0.99516,4.625497968,0.90647,53.19966792,,
,1.09605,0.93567358,1.18034,10.50672082,1.03999,6.210386239,,,,
,1.10507,1.178042775,1.21024,13.23088201,1.06695,8.887585849,,,,
,1.12005,1.464422663,1.24612,17.31415807,1.08492,11.1906907,,,,
,1.12311,1.843651685,1.28498,23.24541126,1.11182,13.38887468,,,,
,1.15305,2.638494557,1.31492,32.84422282,1.14175,18.67713509,,,,
,1.18894,3.634051465,1.31798,41.34961051,1.19553,24.76003157,,,,
,1.22485,5.201069554,1.32401,50.09902446,1.23440,33.24199273,,,,
,1.26671,7.256168598,,,1.27325,42.40339376,,,,
,1.29663,9.741073742,,,1.28223,46.37949482,,,,
,1.31758,12.10978611,,,,,,,,
,1.35348,16.89378317,,,,,,,,
,1.35353,19.69671426,,,,,,,,
,1.35955,23.26164834,,,,,,,,
,1.37456,32.03247135,,,,,,,,
,1.38359,41.37502647,,,,,,,,
,1.38660,44.10910814,,,,,,,,
