Author,Ramesh,,,,,,,,,,,
DOI,10.1016/0925-8388(93)90278-U,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Abs,,Abs,,Abs,,Abs,,Abs,
Temp (K),323,,348,,373,,398,,423,,448,
,mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar)
,0.004564945,0.020360907,0.008641785,0.075183421,0.023131535,0.259849403,0.058600507,0.655958134,0.040461591,0.666894984,0.030216032,0.584260899
,0.16832654,0.206149898,0.036259238,0.209587054,0.028128801,0.322165473,0.17240338,0.761216299,0.053310377,0.748732613,0.053170919,0.883364691
,0.1837925,0.223918392,0.046435068,0.259849403,0.038290685,0.406085604,0.247367031,0.883364691,0.063653557,0.761216299,0.094264722,1.313687057
,0.463393064,0.235306407,0.056652735,0.30657378,0.053617186,0.520400281,0.29352783,1.499486463,0.120492238,0.883364691,0.166471741,1.859087456
,0.553934241,0.259849403,0.092763218,0.361699821,0.105249412,0.624212033,0.345104272,1.921597732,0.177219351,1.170099035,0.212688324,2.953772343
,0.636679682,0.296600823,0.170302204,0.426738258,0.224342415,0.634619577,0.417255508,2.905331489,0.233807006,1.828599059,0.284741938,5.013944625
,0.68820034,0.406085604,0.198742463,0.448441261,0.26307007,0.724376068,0.473843162,4.540373309,0.318807027,3.103994945,0.328341347,8.234161668
,0.711294686,0.520400281,0.286750142,0.463519728,0.291538221,0.736453655,0.540732159,7.580759989,0.362518004,4.465912743,0.369490934,11.46161881
,0.739623378,0.624212033,0.41354126,0.511865895,0.363940482,0.826827136,0.579194844,11.84700625,0.431814986,9.244612022,0.408037294,16.22011242
,0.757594944,0.748732613,0.529933414,0.594002333,0.420681541,1.077248699,0.612688153,14.44722911,0.460199462,10.3790592,0.48004907,28.93345916
,0.783097275,1.189608202,0.653702929,1.095209764,0.534079984,2.019326121,0.656217833,25.77098744,0.532169401,19.45577226,0.497936961,38.3250689
,0.834185612,2.719382992,0.753820264,3.053090493,0.569953386,3.155748133,0.687010294,35.87216844,0.562850295,30.91189811,,
,0.924001604,7.09557235,0.841116705,7.334155096,0.613566742,5.097542575,,,0.578274417,35.28387718,,
,0.967322096,16.22011242,0.897355713,17.32922634,0.667620899,7.456438124,,,,,,
,0.992615239,33.0256206,0.935637101,33.57625975,0.71902999,11.65271941,,,,,,
,1.002846853,38.3250689,0.956170056,41.62838736,0.742249848,12.86812468,,,,,,
,,,,,0.796276113,19.45577226,,,,,,
,,,,,0.834585393,36.47026834,,,,,,
