Author,Yu,,,,,,,
DOI,10.1016/0022-5088(85)90368-6,,,,,,,
Location,Figure 3,,,,,,,
,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,
Temp (K),273,,296,,323,,373,
,mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar)
,0.102815731,0.047700058,0.107789449,0.070834999,0.107132129,0.05488412,0.107614163,0.307162063
,0.135068209,0.280864715,0.131540594,0.331536088,0.146297418,1.018632368,0.118646176,1.031923516
,0.267550962,0.603221156,0.135791261,0.371859164,0.200701565,3.250841347,0.137390738,3.211155812
,0.427027636,0.990888349,0.1778378,0.980154329,0.352071299,4.946856175,0.179535876,8.794224147
,0.797164267,2.444407004,0.376928932,1.651179161,0.4991575,6.6263604,0.243964146,13.73706476
,0.996025337,3.766108609,0.595827293,2.816888942,0.606563512,8.437020886,0.323883246,18.88592893
,1.147230741,5.376826866,0.778803141,4.231168715,0.713870926,10.3391067,0.431157794,22.85031465
,1.266599969,7.112491164,0.930008545,6.04078745,0.865142062,15.14245697,0.510715369,27.30209269
,1.441896133,11.68203442,1.061143792,7.690073707,0.976470081,19.03520271,0.590272943,32.62118167
,1.537568992,15.65421708,1.192804895,12.00627814,1.056159119,23.93434218,0.661789308,37.03982374
,1.641118729,20.70992163,1.300408103,16.50299726,1.111954592,28.23984522,0.717453318,41.52881035
,1.712766559,24.74616563,1.380130008,21.0168138,1.171737804,33.7466241,0.765273314,47.76787217
,1.760685153,29.57430172,1.443868092,25.1143559,1.215602928,38.81768162,,
,1.816480626,34.8943663,1.487963278,31.58651557,1.24747197,42.43333613,,
,,,1.531828401,36.33297662,,,,
